# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.487500670968e-01      -2.021588074299e-01      -3.573649102224e+02      -4.217385762497e+02      -2.021231077894e-01      -1.984008882338e-01      -3.747083633112e-01      -4.048234487723e+02       5.053077694734e-02       5.053075965248e-02      -3.158550410381e-06       3.657559178930e-01       3.709587938466e-01      -3.118319580274e-06       2.848976436098e-05       7.648611448746e-04       3.622003424923e-01 
       1.537305859894e-01      -1.917091117341e-01      -3.557861256339e+02      -4.282781238515e+02      -1.916753323744e-01      -1.871550335127e-01      -3.444794057009e-01      -4.100253642910e+02       4.791883309359e-02       4.791881927418e-02      -3.000817747175e-06       3.696459987134e-01       3.758744291254e-01      -2.962828158356e-06       1.013929442144e-04       7.225676627882e-04       3.668561026723e-01 
       1.588752737623e-01      -1.818423935298e-01      -3.548776587874e+02      -4.348787248792e+02      -1.818104111750e-01      -1.777761815611e-01      -3.220008380170e-01      -4.153793220092e+02       4.545260279374e-02       4.545259093306e-02      -2.850970964861e-06       3.737987075352e-01       3.809083105544e-01      -2.815062749199e-06       3.025682306771e-04       3.688510416243e-04       3.716481559773e-01 
       1.641903703228e-01      -1.729769369904e-01      -3.571199564026e+02      -4.424292013221e+02      -1.729465423375e-01      -1.721497764009e-01      -3.079868516194e-01      -4.219992881034e+02       4.323663558437e-02       4.323662381387e-02      -2.713918214528e-06       3.794090165143e-01       3.870486408736e-01      -2.679822026441e-06       5.297134533204e-04       4.019834067016e-05       3.775758102459e-01 
       1.696821609277e-01      -1.653422077593e-01      -3.644206006576e+02      -4.516844590035e+02      -1.653131473322e-01      -1.702737938173e-01      -2.982948888709e-01      -4.308012986846e+02       4.132828683306e-02       4.132827406599e-02      -2.593337817258e-06       3.874265349242e-01       3.951134044408e-01      -2.560730768831e-06       4.985019529125e-04      -1.342999707846e-04       3.854590776982e-01 
       1.753569901571e-01      -1.589002932054e-01      -3.773947479717e+02      -4.629925173669e+02      -1.588723265030e-01      -1.671982401684e-01      -2.897500795967e-01      -4.421677401896e+02       3.971808162576e-02       3.971806881525e-02      -2.489804384393e-06       3.982005828382e-01       4.054509677206e-01      -2.458384680707e-06      -2.561748613838e-05      -1.944998176566e-04       3.956381480840e-01 
       1.812212795127e-01      -1.533439348467e-01      -3.949248451891e+02      -4.761030373863e+02      -1.533168904060e-01      -1.560960075065e-01      -2.808493127671e-01      -4.557215894261e+02       3.832922260151e-02       3.832921259881e-02      -2.399248996461e-06       4.112539303110e-01       4.177377319264e-01      -2.368807871766e-06      -5.898031410530e-04      -2.132459874814e-04       4.077741925824e-01 
       1.872815495043e-01      -1.482029303530e-01      -4.143224625709e+02      -4.902109838836e+02      -1.481767385948e-01      -1.428081348448e-01      -2.707037738736e-01      -4.703871999367e+02       3.704418464871e-02       3.704417791508e-02      -2.314512133998e-06       4.253706486335e-01       4.310372582298e-01      -2.284975061652e-06      -1.136709460263e-04      -2.258478482400e-04       4.209116967350e-01 
       1.935444470862e-01      -1.429475837089e-01      -4.319196466450e+02      -5.040415696776e+02      -1.429222857016e-01      -1.449430398186e-01      -2.585295557956e-01      -4.845502509503e+02       3.573057142540e-02       3.573056361256e-02      -2.229589678769e-06       4.387934068569e-01       4.439189025002e-01      -2.201024451467e-06       6.386840598676e-04      -2.083833988952e-04       4.335996805910e-01 
       2.000167793067e-01      -1.371729118456e-01      -4.443335619251e+02      -5.162670620585e+02      -1.371486295518e-01      -1.435642685111e-01      -2.443622067272e-01      -4.965953494154e+02       3.428715738796e-02       3.428714953659e-02      -2.140702145389e-06       4.498159170715e-01       4.549312808074e-01      -2.113277380587e-06      -3.924330549691e-04      -8.042966420345e-05       4.443744923180e-01 
