# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       4.174812847909e-02      -6.166973499499e-01      -4.856863784088e+03      -4.891130240518e+03      -6.928194134295e+01      -6.153730133297e-01      -5.265378753131e+01      -9.056940413080e+02      -1.606762378893e+03       1.538432533324e-01       1.538432531539e-01      -8.333286637202e-05       5.820107159027e-01       5.821088685926e-01       4.250914448528e-01      -8.287238022919e-05       1.694800854819e-02       1.964577245713e-01       5.530022191560e-01 
       4.845224332871e-02      -5.345143629480e-01      -5.688502384106e+03      -5.726890978588e+03      -7.315761745240e+01      -5.333640192307e-01      -4.641420533583e+01      -8.735336798386e+02      -1.875761541475e+03       1.333410048077e-01       1.333410046900e-01      -7.332319479595e-05       6.809480398938e-01       6.810555937901e-01       4.521780303301e-01      -7.292282046248e-05       1.517689243298e-02       1.971671546813e-01       6.389973469655e-01 
       5.333502158212e-02      -4.902964914868e-01      -6.339801372298e+03      -6.377931472078e+03      -7.518378193838e+01      -4.892396812702e-01      -4.296164875099e+01      -8.532406281874e+02      -2.084807662916e+03       1.223099203175e-01       1.223099202273e-01      -6.797965944289e-05       7.580197539738e-01       7.581282392730e-01       4.673521661100e-01      -6.761158654379e-05       1.418006885047e-02       1.974700591882e-01       7.049454493413e-01 
       5.737910415683e-02      -4.605533341222e-01      -6.908523879687e+03      -6.944861621228e+03      -7.638692384724e+01      -4.595594068491e-01      -4.058566930700e+01      -8.381160600446e+02      -2.266544922251e+03       1.148898517123e-01       1.148898516383e-01      -6.440362282666e-05       8.251268216919e-01       8.252337032970e-01       4.771693297990e-01      -6.405726120048e-05       1.343709973654e-02       1.976564268459e-01       7.617713139831e-01 
       6.099820005948e-02      -4.374432522441e-01      -7.430592486037e+03      -7.464777281464e+03      -7.703076221731e+01      -4.364981948643e-01      -3.871954415492e+01      -8.247363140396e+02      -2.432924381221e+03       1.091245487161e-01       1.091245486535e-01      -6.162380225692e-05       8.866470793294e-01       8.867521364461e-01       4.833788249915e-01      -6.129431536116e-05       1.288778145242e-02       1.975517384602e-01       8.133771457253e-01 
       6.437813162235e-02      -4.177330899640e-01      -7.917650324669e+03      -7.949978274711e+03      -7.719010301074e+01      -4.168297553756e-01      -3.711133559395e+01      -8.113106510299e+02      -2.587886138143e+03       1.042074388439e-01       1.042074387899e-01      -5.923699206066e-05       9.440259801342e-01       9.441302234393e-01       4.864870450558e-01      -5.892191872592e-05       1.239069152847e-02       1.969911322901e-01       8.610388330451e-01 
       6.761782965077e-02      -3.998153471338e-01      -8.372388623466e+03      -8.403607587579e+03      -7.688876883462e+01      -3.989500056775e-01      -3.563191309615e+01      -7.968180315852e+02      -2.732425608254e+03       9.973750141937e-02       9.973750137228e-02      -5.704118835021e-05       9.976277802823e-01       9.977330193098e-01       4.866462529639e-01      -5.673925030893e-05       1.191364684214e-02       1.958432508321e-01       9.050822788250e-01 
       7.077686273009e-02      -3.828128764599e-01      -8.793991686286e+03      -8.825175983901e+03      -7.613681101474e+01      -3.819836624179e-01      -3.421461700000e+01      -7.807043311901e+02      -2.866376882526e+03       9.549591560448e-02       9.549591556313e-02      -5.492533681240e-05       1.047388579277e+00       1.047497153488e+00       4.839296833600e-01      -5.463590084720e-05       1.145198041356e-02       1.940255259606e-01       9.454679298157e-01 
       7.389448284758e-02      -3.662447298004e-01      -9.180593793185e+03      -9.213037146462e+03      -7.495290181110e+01      -3.654508006999e-01      -3.281835204500e+01      -7.627007156634e+02      -2.989216394101e+03       9.136270017498e-02       9.136270013852e-02      -5.282905568487e-05       1.093111136569e+00       1.093225688602e+00       4.784273586270e-01      -5.255184288317e-05       1.100932550018e-02       1.915152821336e-01       9.820496996838e-01 
       7.699842267797e-02      -3.498750602386e-01      -9.530756139294e+03      -9.565859569838e+03      -7.336605498568e+01      -3.491160718730e-01      -3.141793880777e+01      -7.427352937545e+02      -3.100533760173e+03       8.727901796824e-02       8.727901793604e-02      -5.072369545856e-05       1.134638056857e+00       1.134761300178e+00       4.703033049771e-01      -5.045859888473e-05       1.057831313285e-02       1.883356823239e-01       1.014727143212e+00 
